gameId,GAME_DATE,HOME_TEAM_ABBREVIATION,HOME_TEAM_PTS,AWAY_TEAM_ABBREVIATION,AWAY_TEAM_PTS
0022400061,2024-10-22,BOS,132,NYK,109
0022400062,2024-10-22,LAL,110,MIN,103
0022400067,2024-10-23,TOR,106,CLE,136
0022400071,2024-10-23,LAC,113,PHX,116
0022400068,2024-10-23,HOU,105,CHA,110
0022400072,2024-10-23,POR,104,GSW,140
0022400063,2024-10-23,DET,109,IND,115
0022400065,2024-10-23,MIA,97,ORL,116
0022400066,2024-10-23,PHI,109,MIL,124
0022400064,2024-10-23,ATL,120,BKN,116
0022400070,2024-10-23,UTA,124,MEM,126
0022400069,2024-10-23,NOP,123,CHI,111
0022400074,2024-10-24,DAL,120,SAS,109
0022400076,2024-10-24,SAC,115,MIN,117
0022400073,2024-10-24,WAS,102,BOS,122
0022400075,2024-10-24,DEN,87,OKC,102
0022400077,2024-10-25,ORL,116,BKN,101
0022400085,2024-10-25,LAL,123,PHX,116
0022400086,2024-10-25,POR,103,NOP,105
0022400080,2024-10-25,CLE,113,DET,101
0022400084,2024-10-25,UTA,86,GSW,127
0022400081,2024-10-25,NYK,123,IND,98
0022400079,2024-10-25,ATL,125,CHA,120
0022400083,2024-10-25,MIL,122,CHI,133
0022400078,2024-10-25,TOR,115,PHI,107
0022400082,2024-10-25,HOU,128,MEM,108
0022400090,2024-10-26,WAS,116,CLE,135
0022400089,2024-10-26,DET,118,BOS,124
0022400096,2024-10-26,LAL,131,SAC,127
0022400093,2024-10-26,MIN,112,TOR,101
0022400091,2024-10-26,CHI,95,OKC,114
0022400094,2024-10-26,SAS,109,HOU,106
0022400095,2024-10-26,PHX,114,DAL,102
0022400092,2024-10-26,MEM,124,ORL,111
0022400088,2024-10-26,CHA,106,MIA,114
0022400087,2024-10-26,DEN,104,LAC,109
0022400099,2024-10-27,POR,125,NOP,103
0022400098,2024-10-27,BKN,115,MIL,102
0022400097,2024-10-27,IND,114,PHI,118
0022400100,2024-10-27,OKC,128,ATL,104
0022400101,2024-10-27,GSW,104,LAC,112
0022400107,2024-10-28,TOR,125,DEN,127
0022400105,2024-10-28,MIA,106,DET,98
0022400109,2024-10-28,SAS,101,HOU,106
0022400106,2024-10-28,NYK,104,CLE,110
0022400103,2024-10-28,ATL,119,WAS,121
0022400104,2024-10-28,BOS,119,MIL,108
0022400102,2024-10-28,ORL,119,IND,115
0022400112,2024-10-28,SAC,111,POR,98
0022400108,2024-10-28,MEM,123,CHI,126
0022400111,2024-10-28,PHX,109,LAL,105
0022400110,2024-10-28,DAL,110,UTA,102
0022400115,2024-10-29,UTA,96,SAC,113
0022400114,2024-10-29,MIN,114,DAL,120
0022400113,2024-10-29,BKN,139,DEN,144
0022400116,2024-10-29,GSW,124,NOP,106
0022400127,2024-10-30,LAC,105,POR,106
0022400118,2024-10-30,CLE,134,LAL,110
0022400120,2024-10-30,PHI,95,DET,105
0022400121,2024-10-30,WAS,133,ATL,120
0022400124,2024-10-30,MEM,106,BKN,119
0022400123,2024-10-30,CHI,102,ORL,99
0022400126,2024-10-30,GSW,104,NOP,89
0022400117,2024-10-30,CHA,138,TOR,133
0022400122,2024-10-30,MIA,107,NYK,116
0022400125,2024-10-30,OKC,105,SAS,93
0022400119,2024-10-30,IND,135,BOS,132
0022400129,2024-10-31,DAL,102,HOU,108
0022400130,2024-10-31,UTA,88,SAS,106
0022400131,2024-10-31,LAC,119,PHX,125
0022400128,2024-10-31,MEM,122,MIL,99
0022400132,2024-11-01,CHA,109,BOS,124
0022400136,2024-11-01,BKN,120,CHI,112
0022400137,2024-11-01,TOR,125,LAL,131
0022400138,2024-11-01,NOP,125,IND,118
0022400139,2024-11-01,MIN,119,DEN,116
0022400135,2024-11-01,ATL,115,SAC,123
0022400140,2024-11-01,POR,114,OKC,137
0022400134,2024-11-01,DET,98,NYK,128
0022400133,2024-11-01,CLE,120,ORL,109
0022400142,2024-11-02,PHI,107,MEM,124
0022400143,2024-11-02,TOR,131,SAC,128
0022400141,2024-11-02,CHA,103,BOS,113
0022400145,2024-11-02,MIL,113,CLE,114
0022400148,2024-11-02,DEN,129,UTA,103
0022400149,2024-11-02,PHX,103,POR,97
0022400146,2024-11-02,SAS,113,MIN,103
0022400150,2024-11-02,LAC,92,OKC,105
0022400144,2024-11-02,HOU,121,GSW,127
0022400153,2024-11-03,DAL,108,ORL,85
0022400152,2024-11-03,NOP,111,ATL,126
0022400151,2024-11-03,BKN,92,DET,106
0022400160,2024-11-04,CHI,126,UTA,135
0022400155,2024-11-04,WAS,112,GSW,125
0022400163,2024-11-04,OKC,102,ORL,86
0022400158,2024-11-04,BKN,106,MEM,104
0022400157,2024-11-04,ATL,93,BOS,123
0022400159,2024-11-04,MIA,110,SAC,111
0022400164,2024-11-04,NOP,100,POR,118
0022400167,2024-11-04,PHX,118,PHI,116
0022400168,2024-11-04,LAC,113,SAS,104
0022400162,2024-11-04,MIN,114,CHA,93
0022400166,2024-11-04,DEN,121,TOR,119
0022400161,2024-11-04,HOU,109,NYK,97
0022400165,2024-11-04,DAL,127,IND,134
0022400154,2024-11-04,CLE,116,MIL,114
0022400156,2024-11-04,DET,115,LAL,103
0022400173,2024-11-06,HOU,127,SAS,100
0022400172,2024-11-06,BOS,112,GSW,118
0022400176,2024-11-06,DAL,119,CHI,99
0022400174,2024-11-06,MEM,131,LAL,114
0022400178,2024-11-06,PHX,115,MIA,112
0022400177,2024-11-06,DEN,124,OKC,122
0022400180,2024-11-06,SAC,122,TOR,107
0022400169,2024-11-06,CHA,108,DET,107
0022400171,2024-11-06,ATL,121,NYK,116
0022400170,2024-11-06,IND,118,ORL,111
0022400175,2024-11-06,NOP,122,CLE,131
0022400179,2024-11-06,LAC,110,PHI,98
0022400181,2024-11-07,CHI,119,MIN,135
0022400182,2024-11-07,MIL,123,UTA,100
0022400183,2024-11-07,SAS,118,POR,105
0022400187,2024-11-08,BOS,108,BKN,104
0022400188,2024-11-08,CLE,136,GSW,117
0022400195,2024-11-08,LAL,116,PHI,106
0022400192,2024-11-08,OKC,126,HOU,107
0022400189,2024-11-08,NYK,116,MIL,94
0022400191,2024-11-08,MEM,128,WAS,104
0022400184,2024-11-08,CHA,103,IND,83
0022400190,2024-11-08,DAL,113,PHX,114
0022400185,2024-11-08,DET,122,ATL,121
0022400193,2024-11-08,MIN,127,POR,102
0022400186,2024-11-08,ORL,115,NOP,88
0022400196,2024-11-08,SAC,98,LAC,107
0022400194,2024-11-08,DEN,135,MIA,122
0022400198,2024-11-09,ATL,113,CHI,125
0022400199,2024-11-09,CLE,105,BKN,100
0022400197,2024-11-09,SAS,110,UTA,111
0022400200,2024-11-09,LAC,105,TOR,103
0022400205,2024-11-10,PHI,107,CHA,105
0022400211,2024-11-10,LAL,123,TOR,103
0022400203,2024-11-10,IND,132,NYK,121
0022400210,2024-11-10,POR,89,MEM,134
0022400206,2024-11-10,MIN,94,MIA,95
0022400209,2024-11-10,PHX,118,SAC,127
0022400204,2024-11-10,ORL,121,WAS,94
0022400207,2024-11-10,OKC,116,GSW,127
0022400202,2024-11-10,MIL,107,BOS,113
0022400208,2024-11-10,DEN,122,DAL,120
0022400201,2024-11-10,DET,99,HOU,101
0022400216,2024-11-11,SAS,116,SAC,96
0022400213,2024-11-11,HOU,107,WAS,92
0022400212,2024-11-11,CHI,113,CLE,119
0022400215,2024-11-11,OKC,134,LAC,128
0022400214,2024-11-11,NOP,105,BKN,107
0022400007,2024-11-12,GSW,120,DAL,117
0022400001,2024-11-12,BOS,116,ATL,117
0022400008,2024-11-12,POR,122,MIN,108
0022400006,2024-11-12,UTA,112,PHX,120
0022400005,2024-11-12,MIL,99,TOR,85
0022400004,2024-11-12,PHI,99,NYK,111
0022400002,2024-11-12,DET,123,MIA,121
0022400003,2024-11-12,ORL,114,CHA,89
0022400221,2024-11-13,OKC,106,NOP,88
0022400223,2024-11-13,MIL,127,DET,120
0022400225,2024-11-13,LAL,128,MEM,123
0022400222,2024-11-13,HOU,111,LAC,103
0022400226,2024-11-13,POR,106,MIN,98
0022400227,2024-11-13,SAC,127,PHX,104
0022400224,2024-11-13,SAS,139,WAS,130
0022400220,2024-11-13,PHI,106,CLE,114
0022400219,2024-11-13,NYK,123,CHI,124
0022400218,2024-11-13,BKN,114,BOS,139
0022400217,2024-11-13,ORL,94,IND,90
0022400228,2024-11-14,UTA,115,DAL,113
0022400018,2024-11-15,OKC,99,PHX,83
0022400014,2024-11-15,NYK,124,BKN,122
0022400020,2024-11-15,SAC,126,MIN,130
0022400019,2024-11-15,GSW,123,MEM,118
0022400011,2024-11-15,TOR,95,DET,99
0022400016,2024-11-15,HOU,125,LAC,104
0022400010,2024-11-15,ORL,98,PHI,86
0022400013,2024-11-15,CLE,144,CHI,126
0022400009,2024-11-15,IND,111,MIA,124
0022400017,2024-11-15,NOP,101,DEN,94
0022400015,2024-11-15,SAS,115,LAL,120
0022400012,2024-11-15,ATL,129,WAS,117
0022400229,2024-11-16,CHA,115,MIL,114
0022400233,2024-11-16,SAC,121,UTA,117
0022400231,2024-11-16,NOP,99,LAL,104
0022400232,2024-11-16,DAL,110,SAS,93
0022400230,2024-11-16,BOS,126,TOR,123
0022400239,2024-11-17,POR,114,ATL,110
0022400237,2024-11-17,WAS,104,DET,124
0022400235,2024-11-17,IND,119,MIA,110
0022400238,2024-11-17,MEM,105,DEN,90
0022400234,2024-11-17,MIN,120,PHX,117
0022400236,2024-11-17,CLE,128,CHA,114
0022400243,2024-11-17,LAC,116,UTA,105
0022400240,2024-11-17,NYK,114,BKN,104
0022400242,2024-11-17,OKC,119,DAL,121
0022400241,2024-11-17,CHI,107,HOU,143
0022400250,2024-11-18,SAC,108,ATL,109
0022400248,2024-11-18,MIL,101,HOU,100
0022400245,2024-11-18,MIA,106,PHI,89
0022400247,2024-11-18,TOR,130,IND,119
0022400246,2024-11-18,NYK,134,WAS,106
0022400249,2024-11-18,PHX,99,ORL,109
0022400251,2024-11-18,LAC,102,GSW,99
0022400244,2024-11-18,DET,112,CHI,122
0022400025,2024-11-19,SAS,110,OKC,104
0022400024,2024-11-19,DAL,132,NOP,91
0022400023,2024-11-19,MEM,110,DEN,122
0022400022,2024-11-19,BKN,116,CHA,115
0022400021,2024-11-19,BOS,120,CLE,117
0022400026,2024-11-19,LAL,124,UTA,118
0022400257,2024-11-20,PHX,122,NYK,138
0022400256,2024-11-20,OKC,109,POR,99
0022400254,2024-11-20,HOU,130,IND,113
0022400253,2024-11-20,MIL,122,CHI,106
0022400255,2024-11-20,MEM,117,PHI,111
0022400252,2024-11-20,CLE,128,NOP,100
0022400259,2024-11-20,LAC,104,ORL,93
0022400258,2024-11-20,GSW,120,ATL,97
0022400261,2024-11-21,TOR,110,MIN,105
0022400263,2024-11-21,LAL,118,ORL,119
0022400260,2024-11-21,CHA,123,DET,121
0022400262,2024-11-21,SAS,126,UTA,118
0022400028,2024-11-22,WAS,96,BOS,108
0022400027,2024-11-22,PHI,113,BKN,98
0022400030,2024-11-22,CHI,136,ATL,122
0022400031,2024-11-22,HOU,116,POR,88
0022400032,2024-11-22,NOP,108,GSW,112
0022400029,2024-11-22,MIL,129,IND,117
0022400033,2024-11-22,DEN,120,DAL,123
0022400034,2024-11-22,LAC,104,SAC,88
0022400269,2024-11-23,SAS,104,GSW,94
0022400266,2024-11-23,CHI,131,MEM,142
0022400268,2024-11-23,MIL,125,CHA,119
0022400265,2024-11-23,ORL,111,DET,100
0022400267,2024-11-23,HOU,98,POR,104
0022400270,2024-11-23,LAL,102,DEN,127
0022400264,2024-11-23,UTA,121,NYK,106
0022400271,2024-11-24,BOS,107,MIN,105
0022400275,2024-11-24,CLE,122,TOR,108
0022400276,2024-11-24,SAC,103,BKN,108
0022400274,2024-11-24,PHI,99,LAC,125
0022400272,2024-11-24,IND,115,WAS,103
0022400273,2024-11-24,MIA,123,DAL,118
0022400283,2024-11-25,DEN,118,NYK,145
0022400285,2024-11-25,SAC,109,OKC,130
0022400284,2024-11-25,GSW,120,BKN,128
0022400281,2024-11-25,BOS,126,LAC,94
0022400279,2024-11-25,IND,114,NOP,110
0022400282,2024-11-25,MEM,123,POR,98
0022400280,2024-11-25,ATL,119,DAL,129
0022400278,2024-11-25,DET,102,TOR,100
0022400277,2024-11-25,CHA,84,ORL,95
0022400035,2024-11-26,WAS,108,CHI,127
0022400036,2024-11-26,MIA,103,MIL,106
0022400037,2024-11-26,MIN,111,HOU,117
0022400038,2024-11-26,UTA,115,SAS,128
0022400039,2024-11-26,PHX,127,LAL,100
0022400291,2024-11-27,WAS,96,LAC,121
0022400287,2024-11-27,CLE,124,ATL,135
0022400286,2024-11-27,CHA,94,MIA,98
0022400288,2024-11-27,IND,121,POR,114
0022400293,2024-11-27,MEM,131,DET,111
0022400294,2024-11-27,MIN,104,SAC,115
0022400296,2024-11-27,SAS,101,LAL,119
0022400289,2024-11-27,ORL,133,CHI,119
0022400295,2024-11-27,NOP,93,TOR,119
0022400292,2024-11-27,DAL,129,NYK,114
0022400298,2024-11-27,UTA,103,DEN,122
0022400297,2024-11-27,PHX,117,BKN,127
0022400299,2024-11-27,GSW,101,OKC,105
0022400290,2024-11-27,PHI,115,HOU,122
0022400049,2024-11-29,POR,115,SAC,106
0022400048,2024-11-29,LAL,93,OKC,101
0022400042,2024-11-29,MEM,120,NOP,109
0022400047,2024-11-29,CHI,129,BOS,138
0022400045,2024-11-29,IND,106,DET,130
0022400046,2024-11-29,MIA,121,TOR,111
0022400044,2024-11-29,MIN,93,LAC,92
0022400043,2024-11-29,BKN,100,ORL,123
0022400041,2024-11-29,ATL,117,CLE,101
0022400040,2024-11-29,CHA,98,NYK,99
